name,description
Courants marins,"Transportent la chaleur, l'énergie et les nutriments à travers les océans."
Phytoplancton,Produisent 50 % de l'oxygène mondial et absorbent de grandes quantités de CO2.
Surface océanique,Régule les échanges thermiques et gazeux avec l’atmosphère.
Zones côtières,"Filtrent les polluants, régulent les nutriments et protègent les écosystèmes marins."
Circulation des marées,Nettoient les zones côtières en évacuant les déchets et en redistribuant les nutriments.
Écosystèmes marins,Décomposent la matière organique et recyclent les nutriments.
Récifs coralliens,"Offrent un habitat, protègent les côtes et soutiennent la biodiversité."
Résilience écologique,Récupération après des perturbations comme la pollution ou la surpêche.
Signaux biologiques,Les organismes marins communiquent via des signaux chimiques et physiques.
Cycles de reproduction,Garantissent la pérennité des populations marines.
Zones abyssales,Régions profondes de l'océan abritant une biodiversité unique.
Forêts de kelp,Écosystèmes marins qui fournissent un abri et des nutriments.
Bancs de sable,Zones côtières qui influencent les courants et protègent les rivages.
